comment_urn,post_urn,ts,company,author,numLikes,lang,text,sentiment
6860192036683964416,6859209515330523136,2021-10-30 12:33:57,antheminc,327710457,0,English,I absolutely am so proud that Anthem was a part of this initiative!  It is a passion so near and dear to my heart!,25.29
6860771151203901440,6860251458462371840,2021-11-01 02:55:09,antheminc,807126556,0,English,Ru guys hiring any prn rns or part time remote positions????,-8.8
6861354258130976768,6861331347613597697,2021-11-02 17:32:12,antheminc,892370021,5,English,"Interesting findings. Re: mental health, our society needs to severely destigmatise mental health. Mental illness is also a silent killer and some would say the ‘new’ silent killer.",-2.7
6861443225123647488,6861331347613597697,2021-11-02 23:25:44,antheminc,39790332,7,English,"This is a must read for everyone, regardless of your insurance provider.  I am glad Anthem is trying to address our health issues.  I have seen many changes over the years as an independent insurance agent.  Mental health services are often covered similar to PCP copays and allowances.  I hope people seek out the treatment needed.  Many illnesses can be linked to mental health issues/stress/worry.  Often talking to a therapist can provide much needed release of stress and guidance to point you in the direction if further care is needed.  The wholistic approach to healthcare has been embraced by many providers/insurance carriers.   Annual wellness/preventive care is crucial.  Take care of your mind and body! It is easier for some than others, but help is out there.",3.59
6861785291519275008,6861331347613597697,2021-11-03 22:04:59,antheminc,807126556,0,English,Any part time remote or prn for rns,-29.39
6862033630781292544,6861331347613597697,2021-11-04 14:31:47,antheminc,16990623,0,English,"Proud that Toucan is a part of these amazing initiatives, Anthem, Inc. via the #anthemdigitalincubator!",18.89
6862200575904247808,6861331347613597697,2021-11-05 01:35:10,antheminc,19562822,0,English,Great information. Thank you for sharing what Anthem is doing to help.,48.59
6862524343755399168,6862053092372951040,2021-11-05 23:01:43,autonation, ,1,Other,Awesome!,76.8
6863890017559859200,6863871084396208128,2021-11-09 17:28:25,autonation,15589240,1,Other,Looking great!,0.0
6863933262461571072,6863871084396208128,2021-11-09 20:20:15,autonation,135477707,1,English,Welcome to the family.,32.9
6863937886086078465,6863871084396208128,2021-11-09 20:38:37,autonation,14039947,1,English,"Congratulations, AutoNation!  So excited to partner with you at all your new stores.  Wishing you continued success from Team TSD!  🎉🙌👏🎉",13.39
6863961511753248768,6863940796698247168,2021-11-09 22:12:30,antheminc,2880801,2,English,#PDoH (Personal Determinants of Health) are a critical part of the equation.,0.0
6863993787526516736,6863940796698247168,2021-11-10 00:20:45,antheminc,26047068,0,English,Love this,46.59
6864023124493578240,6863940796698247168,2021-11-10 02:17:20,antheminc,488571956,3,English,I'm so happy to see more people focusing on social drivers of health. This is the key to helping many of our most vulnerable populations stay healthy and have positive interactions with their providers.,7.69
6864034212689825793,6863871084396208128,2021-11-10 03:01:23,autonation,904832913,1,English,Great too see the new team on board . Team drive yrslf & all the best to the new Joinees..,4.4
6864256933898145792,6863871084396208128,2021-11-10 17:46:24,autonation,823443367,1,Other,💪,0.0
6864270510142873600,6864211823810408448,2021-11-10 18:40:21,antheminc,239973328,0,English,Reinvent and redefine!,0.0
6864296250674561024,6864258193783160832,2021-11-10 20:22:38,antheminc,162445071,0,English,I’ve had mine!,0.0
6864333482391343104,6863871084396208128,2021-11-10 22:50:35,autonation,380104013,1,English,Looks great. Congratulations. Wish all the best and nothing but success,28.6
6864344468619833344,6864292591454814208,2021-11-10 23:34:14,autonation,37116958,5,English,"The professionals that I’m blessed to work with at the BMW MT Kisco location are truly amazing. Shelley , Coreen, Sam, Malvina , Jessica - rockstars !!!",8.19
6864395945069604864,6863871084396208128,2021-11-11 02:58:47,autonation,694997777,5,English,Great working your team this week! Welcome aboard and congrats on the new business!,29.0
6864397292364005376,6864292591454814208,2021-11-11 03:04:08,autonation, ,1,Other,Great job!,39.5
6864420244589461504,6864292591454814208,2021-11-11 04:35:21,autonation,904832913,0,English,Interested in Sales can u help me for the opportunity,14.89
6864595624617148416,6863940796698247168,2021-11-11 16:12:14,antheminc,943168276,0,English,Love this,46.59
6864672980853698560,6863940796698247168,2021-11-11 21:19:38,antheminc,848164178,0,English,"Anthem, Inc. It's so refreshing to see a major healthcare company bringing to light the social drivers of health & starting the conversation around the socioecological model. 

As a Big Sister through Big Brothers Big Sisters, Maui, I see all the time how zip code affects our overall health. A current misconception is children with overweight/obesity. I've been told the food provided by the school for children whose household meets the criteria for free meals is gross so my Little says she just doesn't eat. She's pretty much on her own in the food department. She does make good choices when given healthy options but what is she supposed to do when not given the option?

The point is, yes too much junk food causes overweight/obesity but having irregular meals & nutrient deficiencies causes large fluctuations in blood sugar leading to inflammation & fatigue which is more likely the cause of the overweight/obesity we are seeing in children.

What are your thoughts on this?",-11.3
6865008381221056512,6864589041904553984,2021-11-12 19:32:23,autonation, ,1,English,Thank you for your service veterans! 🇺🇲,6.4
6865023208077176832,6863871084396208128,2021-11-12 20:31:18,autonation,102852234,1,Other,Awesome!,76.8
6865242088896823296,6864984027095474176,2021-11-13 11:01:04,antheminc,143697481,1,English,Hi there! I am so very happy to be a part of Anthem!,26.7
6865451812074389504,6864258193783160832,2021-11-14 00:54:25,antheminc,807126556,0,English,Is there any part time or prn remote positions available for rns ????,-4.9
6866048540230119426,6864984027095474176,2021-11-15 16:25:37,antheminc,14093639,0,English,So EXCITING!!!!,54.79
6866500503568834560,6866463689948622849,2021-11-16 22:21:33,antheminc,249328962,0,English,"Anthem your job is to pay Healthcare claims nothing more, this maternalistic wokeism has no place in American business, pay your members claims period",9.0
6866576792401035264,6864984027095474176,2021-11-17 03:24:42,antheminc,41303159,0,English,"So exciting to be a part of a company that continues to invest in #healthcareinnovation to simplify, drive affordability, and provide greater access to care!",18.2
6866750626328641536,6866741686261878786,2021-11-17 14:55:27,antheminc,65627875,0,Dutch,Kapil Godani Balan Ramaswamy Saurabh J. Praveen H,0.0
6866802120734117888,6866741686261878786,2021-11-17 18:20:04,antheminc,14093639,0,English,Listening now.  FANTASTIC work!,19.7
6867471141729009665,6867126269675483136,2021-11-19 14:38:31,autonation,769383805,0,English,"Hi. My name's Muhammad Ajaz and I'm interested looking job automobile body repair specialist certified technician mercedes benz gargash enterprise dubai my details.
maijazmaijazbhatti@gmail.com. contact.    0092565473176 thanks",16.5
6867632921264607232,6866463689948622849,2021-11-20 01:21:22,antheminc,14609359,0,English,"Bravo, Anthem, always expanding the boundaries of the definition of ""health and wellbeing""!  Improving the health of humanity.....",17.2
6867782276676165633,6864292591454814208,2021-11-20 11:14:51,autonation,36737564,2,Other,Kimberly = ⭐️⭐️⭐️⭐️⭐️,0.0
6867855061070991360,6867126269675483136,2021-11-20 16:04:05,autonation,45560113,0,English,What brand ?,0.0
6868083395797352448,6867503748638486529,2021-11-21 07:11:24,autonation,50482815,1,English,congratulations,38.4
6868347200238419968,6867503748638486529,2021-11-22 00:39:40,autonation,67768757,1,English,Congratulations,38.4
6868542544481980416,6867126269675483136,2021-11-22 13:35:53,autonation,45560113,0,English,"I was just curious , I’m already a part of an amazing Autonation store in Golden Colorado . Autonation Chrysler Jeep West! An amazing product!, amazing team , Amazing process geared directly for complete customer satisfaction! I am fortunate to be under the direction of Steve Kern GM who without a doubt has done an outstanding job! I can’t see myself doing business anywhere else other than Autonation Jeep West 👍",23.79
6868567204900683776,6867503748638486529,2021-11-22 15:13:53,autonation,769383805,0,English,"Hi. My name's Muhammad Ajaz and I'm interested looking job opportunities automobile body repair specialist certificate based DAIMLER aluminium welding aluminium Pannals repairs MERCEDES BENZ gargash enterprise dubai my details.
maijazmaijazbhatti@gmail.com. contact.    0092565473176 thanks",14.89
6868632202700210177,6863871084396208128,2021-11-22 19:32:10,autonation,462402103,1,English,Welcome to the AN family.,32.9
6868711205620592641,6867503748638486529,2021-11-23 00:46:05,autonation, ,1,English,Congrats! 🎉 ✂,19.2
6868812987726200832,6867503748638486529,2021-11-23 07:30:32,autonation,48604543,0,English,"AutoNation
This is NOT ok. We have documentation and pictures that this car was listed in pristine condition and my sister Gwendolyn Louque has brought it there twice to get you all to correct this issue. 

You sold an #Infinit with known paint issues and that had already settled in a law suit so you knew that there was no recourse for the customer. My sister had this car for less than a month and the paint started peeling. The #lawsuit was already settled so there is ZERO recourse for the ex military family that saves 2 years for a new car that now looks like this. 

I am not even going to touch the fact that you all spray painted the leather seats to make them look nice and that also all peeled off in less than a week and you have some who agreed to fix that but not the paint. 

Do what’s right. It’s not that hard. 

#falseadvertisement
#autonation
#infiniti
#autonationhouston",-3.09
6868939981373636608,6868938496007118848,2021-11-23 15:55:10,autonation,207483719,1,English,Glad to see the folks at Westmont get a little pub,9.1
6869283940440514561,6868599145230336000,2021-11-24 14:41:56,petsmart,408106269,0,English,Love the HEART element in the art of the CX at PetSmart!,39.5
6869685137387360256,6869662483699892224,2021-11-25 17:16:09,autonation,310044310,1,English,Happy Thanksgiving from our TEAM @ AUTONATION AUCTION IN ATLANTA,23.29
6869819073014837248,6869393967528648704,2021-11-26 02:08:22,petsmart,128789413,0,English,Happy Thanksgiving to all of you.,
6869994876650459137,6866463689948622849,2021-11-26 13:46:56,antheminc,50075016,0,Other,Broken link.,-88.0
6870260432037380096,6869393967528648704,2021-11-27 07:22:10,petsmart,70408482,0,Other,awesome,76.8
6870748736956567552,6869662483699892224,2021-11-28 15:42:31,autonation,775478381,1,English,Happy Thanksgiving!,93.3
6871154960671789056,6871127332724248576,2021-11-29 18:36:42,petsmart,887139070,1,Other,👍👍,0.0
6871287924730798081,6869662483699892224,2021-11-30 03:25:03,autonation, ,0,English,Happy Thanksgiving! 🦃,46.59
6871288625678684160,6871127332724248576,2021-11-30 03:27:50,petsmart,27739399,1,English,Well done Beth!,27.39
6871468591590498304,6868599145230336000,2021-11-30 15:22:57,petsmart,335398306,0,English,Embracing your employees once you find them is also very important.  Often a missed key element,10.39
6871475977311051776,6871210910518710276,2021-11-30 15:52:18,aflac,841312250,1,English,Aflac is THE BEST,46.59
6871492593545465856,6869009202229125120,2021-11-30 16:58:20,antheminc,17494364,0,English,"Exeter Hospital is another business run exclusively by female top executives, last I checked.  Coincidentally, the State of New Hampshire is represented in the U.S. Senate by two Senators ""of the female persuasion.""  Both are former governors of the State, and both worked cooperatively together to achieve their current mutual success.",6.3
6871518673526427648,6871502015181180928,2021-11-30 18:41:58,petsmart,887139070,0,Other,👍👍,0.0
6871628029630681088,6871479955121958912,2021-12-01 01:56:30,autonation,35996353,2,Other,Heather Williams,0.0
6871727518118936576,6866847568719077376,2021-12-01 08:31:50,antheminc,84549338,0,English,"I’ve seen Medicaid fraud first-hand, and let me tell you the reward one feels from playing a direct role in these people being brought to justice, is unparalleled. I hope to bring some of that expertise to Anthem, and help everyone but the fraudsters!",-6.19
6871794505247457280,6871479955121958912,2021-12-01 12:58:01,autonation,10515222,1,English,Great opportunity and and I really enjoy the people!!,44.09
6872189936716562432,6871933023823175680,2021-12-02 15:09:20,aflac,15065268,0,English,Nice to know the difference and nice to have both to cover your catastrophic needs.,11.5
6872289744416587776,6864589041904553984,2021-12-02 21:45:56,autonation,713214503,0,English,I think this isM,0.0
6872654820277284864,6868588115511062528,2021-12-03 21:56:36,aflac,21926155,0,English,"I can't keep track of the number of times friends have said ""We were doing great then 'my husband, father, brother, sister, mother, wife' was hurt or sick and the out pocket bills crushed us. We have health insurance."" It doesn't have to go this way.",-3.59
6873011970392506368,6872635212434563072,2021-12-04 21:35:48,aflac,49842842,0,English,Message me for more information,0.0
6873012329831772160,6871933023823175680,2021-12-04 21:37:13,aflac,49842842,0,English,Message me for more information,0.0
6873038854681690112,6872635212434563072,2021-12-04 23:22:37,aflac,827010127,0,English,Let AFLAC help your Business and workers with affordable group rate Health and Life plans. Call me to get an appt. and see if we're a good fit for you.  Barry 702-290-6326 or Barry_McGiffin@us.aflac.com,2.9
6873041596401774592,6868954747588644864,2021-12-04 23:33:31,aflac,827010127,0,English,Care on Purpose,19.2
6873042417872986112,6868588115511062528,2021-12-04 23:36:47,aflac,827010127,0,Other,Care on Purpose,19.2
6873087794173083648,6867521582252789760,2021-12-05 02:37:05,aflac,827010127,0,English,"Get an edge attracting new employees and retaining present employees by offering our affordable Health and Life plans at our group rates when Premiums are paid through payroll deductions. Only 3 participants required to start your business group. Call or contact me and let's sit down for a 10 minute meeting and see if we're a good fit for you. Barry_McGiffin@us.aflac.com or 702-290-6326, Las Vegas, Nv.",2.09
6873098853873139712,6871127332724248576,2021-12-05 03:21:02,petsmart,19606631,1,English,"Prior to joining Petsmart, Beth and I were a team at American Eagle Outfitters.  We did truly transformational projects together- Marketing and IT. Beth is an outstanding leader and truly inspiring to her team. If looking for a home w a great company and awesome leader check it out via link!",16.1
6873146514013863936,6871210910518710276,2021-12-05 06:30:25,aflac,827010127,0,English,Let Aflac help your Business attract and retain employees by offering our affordable group rates with 3 or more participating through payroll deductions. Call me for a 10 minute appt on your schedule to see if we're a good fit for you. Barry_McGiffin@us.aflac.com or 702-290-6326,2.2
6873168027224014849,6871580872596852736,2021-12-05 07:55:54,aflac,827010127,0,English,"Refer us to a Business having trouble finding employees, out affordable Health and Life plans through payroll deduction are exactly what workers say they look for when searching for a job. Some of our plans are literally the cost of a cup of Starbucks a week.",0.69
6873721082323570688,6872205735783206912,2021-12-06 20:33:33,autonation, ,0,English,Great job opportunity!,
6874005733264920576,6872205735783206912,2021-12-07 15:24:39,autonation,769383805,1,English,Great opportunity,60.29
6874103372748795904,6874092414139695105,2021-12-07 21:52:38,thrivent,60447844,0,English,Of course!,0.0
6874107783654977536,6874100897882914816,2021-12-07 22:10:10,jcpenney,858602414,0,English,"Wish they hadn't closed ours down,could always find my exact size in clothes there😊",4.3
6874109760497582081,6874100897882914816,2021-12-07 22:18:01,jcpenney,15448058,0,Other,#jcpXLG! #jcpwithmore!,0.0
6874115029218680832,6874092414139695105,2021-12-07 22:38:57,thrivent,22641489,0,English,Congratulations Terry!  Couldn’t agree more. ☺️,12.19
6874119818782527488,6874092414139695105,2021-12-07 22:57:59,thrivent,557873429,0,English,"Congrats, Terry. Well-deserved!",26.0
6874121107411083264,6874092414139695105,2021-12-07 23:03:07,thrivent,121529622,0,English,Congratulations!,38.4
6874133256963452928,6874092414139695105,2021-12-07 23:51:23,thrivent,11913536,0,English,Outstanding recognition Terry and well deserved!,54.79
6874156462944481280,6874100897882914816,2021-12-08 01:23:36,jcpenney,707534196,1,English,That’s awesome 👏👏😊,38.4
